Districts,Carpenter,"Black 
smith",Mochies ,Dry Land_A_Male,Dry Land_A_Female,Dry Land_B_Male,Dry Land_B_Female,Dry Land_C_Male,Dry Land_C_Female,Dry Land_D_Male,Dry Land_D_Female,Wet Land_A_Male,Wet Land_A_Female,Wet Land_B_Male,Wet Land_B_Female,Wet Land_C_Male,Wet Land_C_Female,Wet Land_D_Male,Wet Land_D_Female,Garden Land_A_Male,Garden Land_A_Female,Garden Land_B_Male,Garden Land_B_Female,Garden Land_C_Male,Garden Land_C_Female,Garden Land_D_Male,Garden Land_D_Female
Bagalkote,400,360,320,313,227,301,210,250,200,NA,NA,314,230,303,213,250,200,310,304,315,231,298,207,NA,NA,445,308
Bengaluru Rural,400,380,350,410,NA,361,294,180,160,NA,NA,413,NA,370,308,180,160,NA,NA,433,295,367,298,180,160,400,336
Bengaluru Urban,600,500,470,475,NA,460,NA,NA,NA,NA,NA,448,NA,455,421,NA,NA,NA,NA,446,NA,470,408,NA,NA,471,400
Belagam,420,360,320,294,236,257,205,280,220,NA,NA,309,248,272,210,280,220,NA,NA,316,251,279,220,280,220,NA,NA
Ballary,425,400,350,308,216,260,184,200,180,236,156,318,218,268,186,200,180,220,156,324,227,276,207,200,180,218,156
Bidar,420,400,370,417,228,305,216,250,200,NA,NA,428,236,324,260,250,200,NA,NA,431,239,336,281,250,200,NA,NA
vijayapura,400,340,320,324,253,335,212,270,240,NA,NA,328,234,336,223,270,240,NA,NA,342,224,348,225,270,240,NA,NA
Chamarajanagar,440,400,375,395,275,360,250,300,250,472,300,403,276,368,258,300,250,NA,NA,415,292,373,260,300,250,402,292
Chikkaballapura,420,375,350,340,231,334,232,250,225,NA,NA,350,242,334,223,250,225,NA,NA,354,245,361,237,250,225,NA,NA
Chikkamagaluru,450,400,350,400,300,400,300,400,300,NA,NA,400,300,400,300,NA,NA,NA,NA,400,300,400,300,NA,NA,400,300
Chitradurga,450,450,330,336,226,268,206,251,200,NA,NA,316,218,286,214,251,200,300,210,324,225,300,NA,251,200,317,220
DK Mangaluru,600,550,500,600,0,600,500,0,NA,594,490,571,474,578,479,NA,NA,583,493,589,495,582,492,NA,NA,573,480
Davanagere,600,500,400,362,263,300,252,250,220,350,286,370,266,322,269,250,220,351,290,381,267,339,278,270,240,375,319
Hubbali-Dharwad,450,400,350,315,239,305,233,250,NA,350,NA,323,239,318,242,250,NA,350,NA,350,250,350,250,NA,NA,NA,NA
Gadag,420,400,350,264,184,252,176,200,180,NA,NA,283,200,265,192,NA,NA,NA,NA,280,198,265,205,NA,NA,NA,NA
Kalburagi,380,350,350,304,242,300,218,270,210,NA,NA,331,246,332,241,270,210,NA,NA,323,247,313,231,270,210,NA,NA
Hassan,550,500,500,453,316,376,316,249,201,485,355,456,317,376,318,249,201,484,340,465,318,383,323,249,201,477,390
Haveri,450,440,400,320,254,308,247,250,200,NA,NA,331,260,314,248,250,200,NA,NA,325,249,306,252,NA,NA,307,244
Kodagu,500,500,400,500,0,400,350,0,NA,NA,NA,500,NA,400,350,NA,NA,NA,NA,500,NA,384,330,300,NA,NA,NA
Kolar,560,540,530,370,300,391,290,350,300,NA,NA,400,300,408,300,NA,NA,NA,NA,410,300,423,300,NA,NA,NA,NA
Koppal,450,420,400,354,256,291,216,200,180,NA,NA,392,262,294,214,200,180,NA,NA,397,256,318,220,200,180,NA,NA
Mandya,420,400,360,335,211,316,235,260,220,585,NA,338,230,321,258,NA,NA,577,NA,355,232,324,250,260,220,441,257
Mysuru,443,373,333,323,241,277,243,0,NA,309,230,338,244,284,252,NA,NA,311,232,327,244,287,243,NA,NA,295,226
Raichuru,400,350,350,312,250,310,249,250,250,350,250,310,250,316,249,250,250,300,250,312,252,319,249,250,250,300,250
Ramanagara,425,415,400,384,285,397,327,300,NA,419,300,386,280,400,326,300,NA,419,311,386,292,401,322,300,NA,418,358
Shivamogga,450,365,340,365,215,349,243,265,250,527,297,376,236,362,257,265,250,455,256,384,277,353,247,265,NA,422,320
Tumakuru,480,450,370,321,227,301,239,250,200,NA,NA,312,221,300,230,250,207,346,240,323,235,338,200,251,205,312,250
Udupi,650,550,450,454,400,461,400,0,NA,473,400,467,400,463,400,NA,NA,475,400,454,400,456,400,NA,NA,466,400
Uttarakannada,450,400,400,423,260,375,305,275,220,400,300,449,338,421,340,270,250,438,352,467,351,429,352,270,250,483,362
Yadagir,520,420,400,407,251,350,224,320,200,NA,NA,404,251,350,239,NA,NA,NA,NA,405,250,345,250,NA,NA,NA,NA
Average,467,423,383,373,253,343,261,263,218,427,306,379,267,351,274,252,214,395,295,384,273,357,277,256,214,396,309
